date	total_ridership	alert_count	affected_riders
2023-02-03	3240768	136	1173000
2023-02-04	1776434	127	640961
2023-02-05	1644470	82	561377
2023-02-06	3414032	115	1326374
2023-02-07	3782841	148	1542216
2023-02-08	3828178	146	1470647
2023-02-09	3805156	104	1331808
2023-02-10	3605257	126	1165240
2023-02-11	2373561	112	844274
2023-02-12	1764879	94	582675
2023-02-13	3345035	131	1319298
2023-02-14	3864058	86	999284
2023-02-15	3810485	109	1400126
2023-02-16	3723981	106	1554187
2023-02-17	3395305	108	1129661
2023-02-18	2314527	101	670461
2023-02-19	1846041	102	589481
2023-02-20	2268417	83	709954
2023-02-21	3370938	116	997456
2023-02-22	3501083	145	1323685
2023-02-23	3547976	154	1293126
2023-02-24	3301553	139	1180825
2023-02-25	2076769	127	861748
2023-02-26	1641996	116	607317
2023-02-27	3382292	126	1394264
2023-02-28	3463516	119	1276744
2023-03-01	3839493	133	1664796
2023-03-02	3824799	174	1961152
2023-03-03	3546636	142	1260623
2023-03-04	2216472	119	868719
2023-03-05	1793355	98	611114
2023-03-06	3468289	121	1454710
2023-03-07	3817629	148	1750981
2023-03-08	3890397	164	1864042
2023-03-09	3880440	194	2377344
2023-03-10	3562076	06	1084766
2023-03-11	2269584	130	859703
2023-03-12	1794278	108	573753
2023-03-13	3393782	128	1480971
2023-03-14	3619160	140	1631302
2023-03-15	3958738	130	1420826
2023-03-16	4001592	193	2110458
2023-03-17	3729454	168	1947916
2023-03-18	2454999	139	1011033
2023-03-19	1910600	100	474719
2023-03-20	3483407	162	1578129
2023-03-21	3845184	150	1317819
2023-03-22	3842254	129	1540129
2023-03-23	3824310	122	1427177
2023-03-24	3616180	99	1073534
2023-03-25	2203791	71	474546
2023-03-26	1969774	97	674199
2023-03-27	3454829	119	1029446
2023-03-28	3830973	135	1617079
2023-03-29	3917302	126	1583504
2023-03-30	3910310	166	1725328
2023-03-31	3636196	142	1545311
2023-04-01	2323576	91	834804
2023-04-02	1964788	93	645672
2023-04-03	3638694	100	1103434
2023-04-04	3950884	133	1425780
2023-04-05	3844955	147	1331759
2023-04-06	3471430	144	1574327
2023-04-07	3186999	131	1310249
2023-04-08	2424693	103	840387
2023-04-09	1870067	93	681536
2023-04-10	3182981	109	1289154
2023-04-11	3581144	112	1144694
2023-04-12	3622737	139	1717340
2023-04-13	3680209	158	1537970
2023-04-14	3536501	152	1656169
2023-04-15	2401917	91	795979
2023-04-16	1881082	100	513052
2023-04-17	3458275	112	1309004
2023-04-18	3905091	137	1504543
2023-04-19	3975104	108	1507210
2023-04-20	4053799	97	1321211
2023-04-21	3557514	126	1171285
2023-04-22	2543060	101	844177
2023-04-23	1938127	79	641242
